DateTime,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Force-A,Force-B,Force-C,Force-D,Label
-------------------------------------
03-Aug-2022 06:49:05 PM,0.07,0.99,0.0,-0.18,0.57,0.14,0.089,0.565,0.566,0.1535,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.01,0.0,-0.02,0.7,0.09,0.1085,0.566,0.566,0.1114,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.01,-0.01,-0.05,0.58,0.06,0.1241,0.5582,0.5601,0.0909,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.0,-0.0,-0.36,0.73,0.46,0.1525,0.5787,0.5806,0.0821,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.07,1.01,0.01,-0.39,0.61,0.27,0.1593,0.4897,0.5787,0.0909,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.08,1.0,0.02,-0.15,0.61,0.24,0.2141,0.3939,0.5679,0.087,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.11,1.0,0.01,-0.17,0.67,-0.03,0.263,0.39,0.5738,0.087,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.08,1.0,0.01,0.05,0.71,0.08,0.1701,0.4624,0.5718,0.089,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.13,1.01,-0.02,-0.15,0.66,-0.19,0.3402,0.5777,0.5777,0.0958,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.01,0.03,-0.25,0.89,-0.59,0.1339,0.5709,0.5709,0.2248,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.05,1.01,-0.09,-0.44,1.03,-0.48,0.086,0.564,0.564,0.565,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.02,1.0,-0.01,0.35,0.66,0.71,0.1349,0.564,0.564,0.563,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.04,1.01,-0.03,0.77,0.71,-0.59,0.5005,0.564,0.565,0.1408,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.07,1.01,-0.03,0.36,0.61,-0.49,0.565,0.566,0.566,0.1378,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.26,1.02,-0.03,-0.09,1.03,-0.25,0.4321,0.5699,0.4516,0.2063,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.01,-0.04,-1.31,0.6,0.66,0.3666,0.5679,0.5679,0.1134,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.06,1.01,0.01,-0.18,0.6,-0.11,0.087,0.567,0.5689,0.2043,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.0,-0.01,0.44,0.56,-0.1,0.087,0.564,0.564,0.1593,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.08,1.01,-0.02,-0.06,0.5,0.04,0.1124,0.567,0.4262,0.1134,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.08,1.01,-0.01,-0.21,0.62,0.03,0.129,0.5621,0.4839,0.085,Sit-to-Stand
-------------------------------------
03-Aug-2022 06:49:05 PM,0.18,1.02,-0.04,-0.15,0.53,-0.07,0.2649,0.4135,0.565,0.0899,Sit-to-Stand
03-Aug-2022 06:49:05 PM,0.09,1.01,0.02,-0.02,0.61,0.12,0.2835,0.4272,0.567,0.089,Sit-to-Stand
