DateTime,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Force-A,Force-B,Force-C,Force-D,Label
-------------------------------------
03-Aug-2022 04:48:40 PM,0.13,1.01,0.04,-1.95,0.14,-0.42,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.04,1.0,0.09,-0.12,0.15,-0.06,0.3079,0.3167,0.5699,0.3715,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.08,1.01,0.02,-0.27,0.15,0.08,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.06,1.01,0.03,-0.23,0.37,0.11,0.3275,0.1652,0.5689,0.3734,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.09,1.0,0.03,0.02,0.13,-0.2,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.07,1.01,0.04,0.07,0.17,-0.26,0.3275,0.2268,0.5699,0.4291,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.07,1.01,0.03,0.05,0.13,-0.15,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.07,1.01,0.01,-0.05,0.15,-0.03,0.3861,0.564,0.565,0.5435,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.07,1.0,0.02,-0.17,0.16,0.17,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.08,1.01,0.02,-0.13,0.15,0.16,0.4868,0.5611,0.5601,0.5601,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.07,1.0,0.03,-0.22,0.17,0.02,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.06,0.98,0.07,-0.37,0.27,0.15,0.567,0.567,0.567,0.566,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.08,1.0,0.0,-0.76,0.47,0.53,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.08,1.01,0.04,-0.75,0.4,0.24,0.5689,0.1945,0.5679,0.567,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.08,1.0,0.05,-0.21,0.15,-0.66,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.05,1.01,0.03,-0.02,0.08,-0.37,0.52,0.2972,0.563,0.563,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.07,1.0,-0.03,-0.21,0.2,0.44,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.1,1.02,0.01,-0.44,0.22,0.44,0.5621,0.3978,0.566,0.566,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.11,1.0,0.06,-0.02,0.07,-0.01,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.07,1.01,0.05,0.21,-0.05,0.0,0.5679,0.2336,0.565,0.564,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.07,1.03,0.01,-0.18,0.18,-0.08,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.09,1.02,0.02,-0.4,0.33,-0.19,0.564,0.3587,0.564,0.564,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.09,1.0,0.06,-0.24,0.23,0.03,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.08,1.0,0.06,-0.1,-0.04,0.21,0.4135,0.0919,0.563,0.5611,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.09,1.01,0.07,-0.25,0.25,0.27,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.1,0.99,0.07,-0.24,0.24,0.27,0.3245,0.086,0.565,0.0919,Stand-to-Sit
03-Aug-2022 04:48:40 PM,-0.02,1.0,0.07,0.17,0.06,0.42,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,-0.02,1.01,0.08,0.11,-0.02,0.38,0.1114,0.085,0.5689,0.089,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.08,1.04,0.01,-0.06,0.14,0.73,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.06,0.98,0.05,-0.11,0.14,0.66,0.2219,0.0841,0.5689,0.087,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.15,1.0,0.03,0.14,-0.03,0.39,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.13,0.98,0.1,0.38,0.17,0.4,0.4086,0.087,0.5406,0.087,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.09,1.02,0.02,0.36,0.08,-0.22,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.09,1.03,0.02,0.35,0.17,-0.18,0.5738,0.087,0.3324,0.087,Stand-to-Sit
-------------------------------------
-------------------------------------
03-Aug-2022 04:48:40 PM,0.06,1.01,0.02,-0.18,0.15,-0.28,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.08,1.0,0.03,-0.14,0.15,-0.33,0.2893,0.4291,0.4066,0.217,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.05,1.01,0.02,-0.21,0.19,-0.15,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.08,1.01,0.02,0.22,0.18,-0.23,0.1271,5.131,0.172,28.1486,Stand-to-Sit
03-Aug-2022 04:45:22 PM,0.09,0.98,0.03,0.27,0.17,-0.24,0.4008,0.0929,0.5621,0.1437,Stand-to-Sit
03-Aug-2022 04:48:40 PM,0.11,1.01,0.01,0.02,0.17,-0.06,0.1271,5.131,0.172,28.1486,Stand-to-Sit
-------------------------------------
-------------------------------------
